T1	Ingabe konke ukugwinya kuyingxenye ekudleni?
T2	Ingabe yonke inkawu idla isithelo?
T3	Ingabe yonke ithiyetha yokuhlinzela umunxa isibhedlela?
T4	Ingabe wonke ubabekazi wenza ifoni elimbalwa ku-1?
T5	ayikho yini indebe eyingilazi?
T6	Ingabe lonke i-okhestra linesazi somnyuziki?
T7	Ingabe wonke umuntu uphuza uketshezi?
T8	Ingabe sonke isinkwa sinofulawa?
T9	alikho yini indoda elingumfazi?
T10	Ingabe sonke isibhedlela sinethiyetha yokuhlinzela?
T11	akukho yini ukugijima okungukuhlala?
T12	Ingabe wonke uSolwazi ufundisa isifundo?
T13	Ingabe yonke indlu yakhiwe itshe?
T14	Ingabe lonke ihlamvana lingxenye isihlalo sodwa?
T15	Ingabe lonke ihebhu lingumuthi?
T16	alikho yini ibhotela elingushizi?
T17	asikho yini isidlanyama esiyisidlazitshalo?
T18	Ingabe lonke iqembu labahlinzi linodokotela?
T19	awukho yini umfula ongumsele?
T20	Ingabe yonke imvilophu inencwadi?
T21	Ingabe yonke inhliziyo yenza ifoni elingaphezulu kuka-1?
T22	Ingabe wonke umfundi ongenaziqu ungumfundi?
T23	Ingabe lonke ibhubesi liyisilwane?
T24	Ingabe yonke incwadi isemvilophini?
T25	iNokia 3310 lifundisa uZola?
T26	Ingabe yonke indlulamithi idla ihlamvana?
T27	Ingabe lonke ibhubesi lidla impala?
T28	Ingabe yonke ivazi yakhiwe ubumba?
T29	Ingabe yonke indlovu iyisilwane?
T30	Ingabe sonke isisu sinendilinga yokudla?
T31	Ingabe yonke inja iyisilwane?
T32	Ingabe wonke umqondo womshini usekhompyutheni?
T33	Ingabe yonke indlovu idla ihlamvana?
T34	Ingabe yonke impala iyisilwane?
T35	Ingabe iNokia 3310 lingumakhalekhukhwini?
T36	Ingabe lonke ukhetho lunomphakathi?
T37	Ingabe onke amanzi ayingxenye emshobingweni?
T38	Ingabe lonke iphilisi lenziwe isitashi?
T39	Ingabe lonke ibhotela lenza ifoni eliyi-1 ncamashi?
T40	Ingabe yonke iNgqungquthela inoMnumzana?
T41	Ingabe konke ukudla kunokugwinya?
T42	Ingabe noma yiyiphi indlu eyinyama?
T43	Ingabe wonke uMnumzana uyingxenye eNgqungqutheleni?
T44	ayikho yini indlu engumjondolo?
T45	Ingabe lonke iqembu labahlinzi lihlanganyele ukuhlinza?
T46	Ingabe yonke inkawu iyisilwane?
T47	Ingabe wonke umshobingo unamanzi?
T48	ayikho yini inyama engumfino?
T49	Ingabe wonke umphakathi uhlanganyele ukhetho?
T50	alikho yini ihebhivo eliyikhanivo?
T51	Ingabe lonke iziko lumunxa ixhiba?
T52	Ingabe konke ukuhlinza kuneqembu labahlinzi?
T53	Ingabe lonke ikhambi lingumuthi?
T54	alikho yini ibhubesi eliyindlovu?
T55	Ingabe sonke isazi somnyuziki siyingxenye e-okhestreni?
T56	awukho yini ubabekazi ungumalume?
T57	Ingabe yonke indilinga yokudla isesiswini?
T58	Ingabe uZola neminyaka 50?
T59	Ingabe wonke umuntu udla isithelo?
T60	asikho yini isipunu esingumfoloko?
T61	Ingabe sonke isihlahla singumuthi?
T62	Ingabe yonke indlulamithi iyisilwane?
T63	Ingabe wonke ufulawa uyingxenye esinkweni?
T64	Ingabe sonke isifundo sifundiswa uSolwazi?
T65	Ingabe konke ukusebenza kuyawufeza umsebenzi onqunyiwe?
T66	Ingabe wonke umakhalekhukhwini uyifoni?
T67	Ingabe konke ukuhlinza kunodokotela?
T68	Ingabe wonke umuntu unenhliziyo?
T69	Ingabe wonke umfundi ongenaziqu wenza isifundo?
T70	Ingabe lonke ikhompyutha linomqondo womshini?
T71	Ingabe uZola uyindoda?
T72	Ingabe yonke inhliziyo iyingxenye kumuntu?
T73	Ingabe yonke ingwe iyisilwane?
T74	Ingabe lonke ixhiba lineziko?
T75	asikho yini isihlalo esiyitafula?
T76	Ingabe wonke udokotela uyingxenye ekuhlinzeni?
